States/UTs,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,7471,6407,5211,4560,6201,4448,4190,4101,5564
Arunachal Pradesh,32,35,42,72,15,27,11,12,41
Assam,843,1244,1400,1233,1430,1341,1465,1281,1094
Bihar,1008,1551,1452,1748,1266,1205,746,1366,1509
Chhattisgarh,1347,1474,1382,1431,1186,1307,1750,1709,1735
Goa,271,211,214,240,226,208,217,217,306
Gujarat,4373,4611,4898,5385,4640,4498,4893,4861,4611
Haryana,2580,2080,2089,2090,2075,1635,1675,1674,1113
Himachal Pradesh,388,764,619,696,767,944,1089,941,187
Jammu & Kashmir,603,709,570,699,573,399,231,214,432
Jharkhand,633,995,1189,924,1050,783,712,780,440
Karnataka,5678,4501,6657,5205,4304,5231,6116,3964,8037
Kerala,2317,2307,2462,2606,2707,2683,2538,2083,3300
Madhya Pradesh,4034,4284,4471,4300,3494,5201,3850,3244,5188
Maharashtra,8704,4404,7301,8549,8607,8587,7789,7758,7787
Manipur,22,42,20,22,0,0,0,0,12
Meghalaya,69,26,84,67,20,18,15,41,35
Mizoram,35,15,29,10,37,46,48,18,16
Nagaland,25,0,0,0,NA,0,12,2,6
Odisha,1330,406,1463,1408,1439,1782,1622,3160,2098
Punjab,1478,1219,1336,1674,1739,1600,1727,2001,1923
Rajasthan,4736,4681,4451,4650,4621,4244,4774,4920,6242
Sikkim,28,15,9,7,7,8,8,5,26
Tamil Nadu,5703,5695,6323,6412,8043,7343,7155,9380,11444
Telangana,NA,NA,NA,NA,NA,NA,2156,4962.88,3541
Tripura,175,209,163,168,148,136,123,101,129
Uttarakhand,575,473,456,466,231,405,31,152,437
Uttar Pradesh,2803,2880,1468,4629,2947,1321,1155,3347,5471
West Bengal,1670,1576,143,0,2397,797,1619,1451,535
Andaman & Nicobar Islands,15,19,18,16,25,36,10,8,11
Chandigarh,20,88,17,NA,24,5,62,61,142
Dadra & Nagar Haveli,65,45,15,63,17,49,15,8,4
Daman & Diu,5,14,12,8,8,15,6,2,12
Delhi,0,0,0,365,329,NA,NA,640,318
Lakshadweep,0,0,0,0,NA,0,0,0,0
Puducherry,210,212,239,229,147,227,34,168,150
All India,59246,53192,56203,59932,60720,56529,57844,64633,73896
